year,district,species_name_raw,species_key,landing_qty_tonnes
2022-23,KSD,Chorinemus,,2.0
2022-23,TVPM,Thachynotus,,1.0
2022-23,KLM,Thachynotus,,0.0
2022-23,ALP,Thachynotus,,1.0
2022-23,EKM,Thachynotus,,2.0
2022-23,TCR,Thachynotus,,0.0
2022-23,MLPM,Thachynotus,,1.0
2022-23,KKD,Thachynotus,,2.0
2022-23,KNR,Thachynotus,,0.0
2022-23,KSD,Thachynotus,,0.0
2022-23,TVPM,Coryphaena,,293.0
2022-23,KLM,Coryphaena,,339.0
2022-23,ALP,Coryphaena,,29.0
2022-23,EKM,Coryphaena,,1435.0
2022-23,TCR,Coryphaena,,56.0
2022-23,MLPM,Coryphaena,,37.0
2022-23,KKD,Coryphaena,,401.0
2022-23,KNR,Coryphaena,,63.0
2022-23,KSD,Coryphaena,,44.0
2022-23,TVPM,Elacate,,243.0
2022-23,KLM,Elacate,,48.0
2022-23,ALP,Elacate,,1.0
2022-23,EKM,Elacate,,206.0
2022-23,TCR,Elacate,,0.0
2022-23,MLPM,Elacate,,3.0
2022-23,KKD,Elacate,,5.0
2022-23,KNR,Elacate,,1.0
2022-23,KSD,Elacate,,1.0
2022-23,TVPM,Leiognathus,,338.0
2022-23,KLM,Leiognathus,,423.0
2022-23,ALP,Leiognathus,,91.0
2022-23,EKM,Leiognathus,,617.0
2022-23,TCR,Leiognathus,,60.0
2022-23,MLPM,Leiognathus,,55.0
2022-23,KKD,Leiognathus,,580.0
2022-23,KNR,Leiognathus,,153.0
2022-23,KSD,Leiognathus,,7.0
2022-23,TVPM,Gazza,,0.0
2022-23,KLM,Gazza,,0.0
2022-23,ALP,Gazza,,0.0
2022-23,EKM,Gazza,,0.0
2022-23,TCR,Gazza,,0.0
2022-23,MLPM,Gazza,,0.0
2022-23,KKD,Gazza,,0.0
2022-23,KNR,Gazza,,0.0
2022-23,KSD,Gazza,,0.0
2022-23,TVPM,Lactrious,,126.0
2022-23,KLM,Lactrious,,462.0
2022-23,ALP,Lactrious,,254.0
2022-23,EKM,Lactrious,,57.0
2022-23,TCR,Lactrious,,10.0
2022-23,MLPM,Lactrious,,19.0
2022-23,KKD,Lactrious,,248.0
2022-23,KNR,Lactrious,,42.0
2022-23,KSD,Lactrious,,1.0
2022-23,TVPM,Pomfrets,silver_pomfret,10.0
2022-23,KLM,Pomfrets,silver_pomfret,445.0
2022-23,ALP,Pomfrets,silver_pomfret,20.0
2022-23,EKM,Pomfrets,silver_pomfret,514.0
2022-23,TCR,Pomfrets,silver_pomfret,10.0
2022-23,MLPM,Pomfrets,silver_pomfret,378.0
2022-23,KKD,Pomfrets,silver_pomfret,935.0
2022-23,KNR,Pomfrets,silver_pomfret,41.0
2022-23,KSD,Pomfrets,silver_pomfret,34.0
2022-23,TVPM,Mackerel,indian_mackerel,7030.0
2022-23,KLM,Mackerel,indian_mackerel,20024.0
2022-23,ALP,Mackerel,indian_mackerel,6722.0
2022-23,EKM,Mackerel,indian_mackerel,23538.0
2022-23,TCR,Mackerel,indian_mackerel,13828.0
2022-23,MLPM,Mackerel,indian_mackerel,3308.0
2022-23,KKD,Mackerel,indian_mackerel,14583.0
2022-23,KNR,Mackerel,indian_mackerel,9417.0
2022-23,KSD,Mackerel,indian_mackerel,3634.0
2022-23,TVPM,Seer Fish,seer_fish,750.0
2022-23,KLM,Seer Fish,seer_fish,927.0
2022-23,ALP,Seer Fish,seer_fish,438.0
2022-23,EKM,Seer Fish,seer_fish,2180.0
2022-23,TCR,Seer Fish,seer_fish,402.0
2022-23,MLPM,Seer Fish,seer_fish,212.0
2022-23,KKD,Seer Fish,seer_fish,1931.0
2022-23,KNR,Seer Fish,seer_fish,257.0
2022-23,KSD,Seer Fish,seer_fish,84.0
2022-23,TVPM,Tunnis,tuna,8980.0
2022-23,KLM,Tunnis,tuna,5939.0
2022-23,ALP,Tunnis,tuna,266.0
2022-23,EKM,Tunnis,tuna,18667.0
2022-23,TCR,Tunnis,tuna,521.0
2022-23,MLPM,Tunnis,tuna,105.0
2022-23,KKD,Tunnis,tuna,2529.0
2022-23,KNR,Tunnis,tuna,302.0
2022-23,KSD,Tunnis,tuna,187.0
2022-23,TVPM,Sphyraena,barracuda,769.0
2022-23,KLM,Sphyraena,barracuda,2445.0
2022-23,ALP,Sphyraena,barracuda,379.0
2022-23,EKM,Sphyraena,barracuda,3818.0
2022-23,TCR,Sphyraena,barracuda,39.0
2022-23,MLPM,Sphyraena,barracuda,23.0
2022-23,KKD,Sphyraena,barracuda,802.0
2022-23,KNR,Sphyraena,barracuda,90.0
2022-23,KSD,Sphyraena,barracuda,9.0
2022-23,TVPM,Mugil,,38.0
2022-23,KLM,Mugil,,0.0
2022-23,ALP,Mugil,,0.0
2022-23,EKM,Mugil,,10.0
2022-23,TCR,Mugil,,4.0
2022-23,MLPM,Mugil,,0.0
2022-23,KKD,Mugil,,2.0
2022-23,KNR,Mugil,,2.0
2022-23,KSD,Mugil,,3.0
2022-23,TVPM,Bregmaceros,,0.0
2022-23,KLM,Bregmaceros,,0.0
2022-23,ALP,Bregmaceros,,0.0
2022-23,EKM,Bregmaceros,,0.0
2022-23,TCR,Bregmaceros,,0.0
2022-23,MLPM,Bregmaceros,,0.0
2022-23,KKD,Bregmaceros,,0.0
2022-23,KNR,Bregmaceros,,0.0
2022-23,KSD,Bregmaceros,,0.0
2022-23,TVPM,Soles,,563.0
2022-23,KLM,Soles,,2510.0
2022-23,ALP,Soles,,184.0
2022-23,EKM,Soles,,1319.0
2022-23,TCR,Soles,,1209.0
2022-23,MLPM,Soles,,1260.0
2022-23,KKD,Soles,,2352.0
2022-23,KNR,Soles,,483.0
2022-23,KSD,Soles,,530.0
2022-23,TVPM,Penaid Prawn,penaeid_prawn,133.0
2022-23,KLM,Penaid Prawn,penaeid_prawn,11249.0
2022-23,ALP,Penaid Prawn,penaeid_prawn,1036.0
2022-23,EKM,Penaid Prawn,penaeid_prawn,8817.0
2022-23,TCR,Penaid Prawn,penaeid_prawn,1889.0
2022-23,MLPM,Penaid Prawn,penaeid_prawn,1778.0
2022-23,KKD,Penaid Prawn,penaeid_prawn,4369.0
2022-23,KNR,Penaid Prawn,penaeid_prawn,1573.0
2022-23,KSD,Penaid Prawn,penaeid_prawn,746.0
2022-23,TVPM,Non Penaid Prawn,non_penaeid_prawn,3.0
2022-23,KLM,Non Penaid Prawn,non_penaeid_prawn,6519.0
2022-23,ALP,Non Penaid Prawn,non_penaeid_prawn,0.0
2022-23,EKM,Non Penaid Prawn,non_penaeid_prawn,117.0
2022-23,TCR,Non Penaid Prawn,non_penaeid_prawn,0.0
2022-23,MLPM,Non Penaid Prawn,non_penaeid_prawn,0.0
2022-23,KKD,Non Penaid Prawn,non_penaeid_prawn,0.0
2022-23,KNR,Non Penaid Prawn,non_penaeid_prawn,0.0
2022-23,KSD,Non Penaid Prawn,non_penaeid_prawn,0.0
2022-23,TVPM,Lobsters,lobster,21.0
2022-23,KLM,Lobsters,lobster,68.0
2022-23,ALP,Lobsters,lobster,0.0
2022-23,EKM,Lobsters,lobster,20.0
